Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\fig_r_220_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\mandarine_148_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/vines\grape_w_38_100.jpg, True Label: 0, Predicted Label: 1
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\cherry_r_r2_134_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\plum_3_r3_41_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\apple_rd_r_315_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/vines\grape_w_85_100.jpg, True Label: 0, Predicted Label: 1
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\pear_s_r_76_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\cherry_r_r2_141_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/bush\huckleberry_r_208_100.jpg, True Label: 0, Predicted Label: 1
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\mandarine_151_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/vines\grape_w_55_100.jpg, True Label: 0, Predicted Label: 1
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\mandarine_r_251_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\apple_rd_r_16_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/vines\grape_w_r_269_100.jpg, True Label: 0, Predicted Label: 1
