Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/test-multiple_fruits/tree\limes.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/test-multiple_fruits/tree\mangos3.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/test-multiple_fruits/tree\apples4.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/test-multiple_fruits/tree\apples1.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/test-multiple_fruits/tree\cherries6.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/test-multiple_fruits/tree\pomegranate.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/test-multiple_fruits/tree\pears1.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/test-multiple_fruits/tree\cherries2.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/test-multiple_fruits/tree\cherry2.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/test-multiple_fruits/tree\Bananas(lady_finger)4.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/test-multiple_fruits/tree\pears2.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/test-multiple_fruits/tree\Bananas(lady_finger)3.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/test-multiple_fruits/tree\cherries_wax4.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/test-multiple_fruits/tree\cherries5.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/test-multiple_fruits/tree\cherries.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/test-multiple_fruits/tree\cherries(rainier)2.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/test-multiple_fruits/tree\kiwi.jpg, True Label: 1, Predicted Label: 0
