Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/bush\blueberry_r_72_100.jpg, True Label: 0, Predicted Label: 1
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/bush\blueberry_r_70_100.jpg, True Label: 0, Predicted Label: 1
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/bush\blueberry_r_75_100.jpg, True Label: 0, Predicted Label: 1
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/bush\blueberry_r_79_100.jpg, True Label: 0, Predicted Label: 1
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/vines\strawberry_r_8_100.jpg, True Label: 0, Predicted Label: 1
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/bush\blueberry_r_74_100.jpg, True Label: 0, Predicted Label: 1
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/vines\strawberry_r_4_100.jpg, True Label: 0, Predicted Label: 1
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/bush\blueberry_r_65_100.jpg, True Label: 0, Predicted Label: 1
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/vines\strawberry_r_9_100.jpg, True Label: 0, Predicted Label: 1
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/bush\blueberry_r_67_100.jpg, True Label: 0, Predicted Label: 1
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/bush\blueberry_r_73_100.jpg, True Label: 0, Predicted Label: 1
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/vines\strawberry_r_7_100.jpg, True Label: 0, Predicted Label: 1
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/bush\blueberry_r_81_100.jpg, True Label: 0, Predicted Label: 1
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/vines\strawberry_r_5_100.jpg, True Label: 0, Predicted Label: 1
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/bush\blueberry_r_78_100.jpg, True Label: 0, Predicted Label: 1
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\banana_r_r_223_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/vines\strawberry_r_3_100.jpg, True Label: 0, Predicted Label: 1
